Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778448909,20,GET,GET /api/v1/analytics/health-board,1.500000,0.000000,22,25,39,41,57,74,1400,1400,1400,1400,1400,21,0,22,94.1030130951341,8.236998000938911,1436.493793000409,75.0
1778448909,20,GET,GET /api/v1/analytics/summary,1.100000,0.000000,30,31,50,50,57,57,57,57,57,57,57,12,0,30,153.02125016751233,9.857389002718264,1410.9123710004496,75.0
1778448909,20,GET,GET /api/v1/questionnaires/active,3.700000,0.000000,17,21,25,25,28,33,53,53,53,53,53,53,0,20,26.7440910188356,7.076855999912368,130.7612960008555,0.0
1778448909,20,POST,POST /api/v1/auth/login,1.200000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448909,20,POST,POST /api/v1/surveys,3.500000,0.000000,31,34,37,39,55,60,120,120,120,120,120,44,0,32,132.8444252502033,14.55816700035939,2654.601320002257,254.61363636363637
1778448909,20,,Aggregated,11.000000,0.000000,23,27,30,33,41,53,57,60,120,120,120,150,0,29,218.52376602691947,7.076855999912368,2654.601320002257,139.18666666666667
1778448910,20,GET,GET /api/v1/analytics/health-board,1.700000,0.000000,19,25,25,29,41,53,53,53,53,53,53,22,0,19,90.45982795446021,8.236998000938911,1436.493793000409,75.0
1778448910,20,GET,GET /api/v1/analytics/summary,1.100000,0.000000,21,30,31,50,57,57,57,57,57,57,57,13,0,30,142.10701746224703,9.857389002718264,1410.9123710004496,75.0
1778448910,20,GET,GET /api/v1/questionnaires/active,3.800000,0.000000,17,20,21,25,28,30,53,53,53,53,53,58,0,18,25.751922086156213,7.076855999912368,130.7612960008555,0.0
1778448910,20,POST,POST /api/v1/auth/login,1.200000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448910,20,POST,POST /api/v1/surveys,4.000000,0.000000,28,33,37,39,55,60,120,120,120,120,120,46,0,31,128.13478669586007,14.55816700035939,2654.601320002257,254.6086956521739
1778448910,20,,Aggregated,11.800000,0.000000,21,25,28,31,41,53,57,60,120,120,120,159,0,28,207.0998377549477,7.076855999912368,2654.601320002257,135.45283018867926
1778448911,20,GET,GET /api/v1/analytics/health-board,1.400000,0.000000,18,19,25,25,29,41,41,41,41,41,41,25,0,19,81.42382843987434,8.061178999923868,1436.493793000409,75.0
1778448911,20,GET,GET /api/v1/analytics/summary,0.900000,0.000000,28,30,50,50,57,57,57,57,57,57,57,14,0,28,133.9252095008955,9.857389002718264,1410.9123710004496,75.0
1778448911,20,GET,GET /api/v1/questionnaires/active,4.300000,0.000000,17,20,21,25,28,30,53,53,53,53,53,60,0,18,25.625066766648768,7.076855999912368,130.7612960008555,0.0
1778448911,20,POST,POST /api/v1/auth/login,0.800000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448911,20,POST,POST /api/v1/surveys,3.400000,0.000000,28,33,37,37,55,56,60,60,60,60,60,48,0,32,124.32191297943973,14.55816700035939,2654.601320002257,254.625
1778448911,20,,Aggregated,10.800000,0.000000,20,25,28,30,37,52,56,57,60,60,60,167,0,28,198.3177219463722,7.076855999912368,2654.601320002257,133.81437125748502
1778448912,20,GET,GET /api/v1/analytics/health-board,1.800000,0.000000,19,22,25,25,31,31,41,41,41,41,41,27,0,19,77.67507307397426,8.061178999923868,1436.493793000409,75.0
